Date;Open;High;Low;Close;Adj Close;Volume
24/10/2017;1.098000;1.098000;1.098000;1.098000;1.098000;0
25/10/2017;1.095000;1.098000;1.080000;1.083000;1.083000;0
26/10/2017;1.080000;1.083000;1.075000;1.080000;1.080000;0
27/10/2017;1.075000;1.075000;1.073000;1.073000;1.073000;0
30/10/2017;1.073000;1.080000;1.073000;1.075000;1.075000;0
31/10/2017;1.120000;1.123000;1.118000;1.123000;1.123000;0
01/11/2017;1.123000;1.138000;1.123000;1.138000;1.138000;0
02/11/2017;1.133000;1.143000;1.133000;1.138000;1.138000;0
03/11/2017;1.135000;1.148000;1.135000;1.148000;1.148000;0
06/11/2017;1.158000;1.160000;1.153000;1.158000;1.158000;0
07/11/2017;1.185000;1.208000;1.185000;1.188000;1.188000;0
08/11/2017;1.188000;1.200000;1.188000;1.195000;1.195000;0
09/11/2017;1.205000;1.228000;1.203000;1.203000;1.203000;0
10/11/2017;1.205000;1.205000;1.200000;1.200000;1.200000;0
13/11/2017;1.200000;1.200000;1.180000;1.185000;1.185000;0
14/11/2017;1.228000;1.240000;1.228000;1.240000;1.240000;0
15/11/2017;1.233000;1.245000;1.230000;1.230000;1.230000;0
16/11/2017;1.223000;1.235000;1.223000;1.230000;1.230000;0
17/11/2017;1.230000;1.240000;1.230000;1.240000;1.240000;0
20/11/2017;1.240000;1.245000;1.235000;1.240000;1.240000;0
21/11/2017;1.283000;1.290000;1.275000;1.278000;1.278000;0
22/11/2017;1.275000;1.278000;1.255000;1.265000;1.265000;0
24/11/2017;1.263000;1.263000;1.235000;1.240000;1.240000;0
27/11/2017;1.243000;1.243000;1.223000;1.223000;1.223000;0
28/11/2017;1.270000;1.270000;1.265000;1.265000;1.265000;0
29/11/2017;1.265000;1.265000;1.250000;1.258000;1.258000;0
30/11/2017;1.263000;1.263000;1.238000;1.238000;1.238000;0
01/12/2017;1.238000;1.255000;1.230000;1.235000;1.235000;0
04/12/2017;1.238000;1.250000;1.238000;1.245000;1.245000;0
05/12/2017;1.263000;1.283000;1.260000;1.283000;1.283000;0
06/12/2017;1.285000;1.290000;1.263000;1.263000;1.263000;0
07/12/2017;1.260000;1.270000;1.250000;1.260000;1.260000;0
