Date;Open;High;Low;Close;Adj Close;Volume
24/10/2017;5377.859863;5413.029785;5377.859863;5394.799805;5394.799805;74560600
25/10/2017;5399.609863;5416.540039;5364.160156;5374.890137;5374.890137;80466800
26/10/2017;5383.439941;5459.609863;5375.259766;5455.399902;5455.399902;90950700
27/10/2017;5470.339844;5513.529785;5470.240234;5494.129883;5494.129883;95585200
30/10/2017;5488.330078;5507.560059;5487.290039;5493.629883;5493.629883;67428800
31/10/2017;5492.629883;5511.250000;5489.410156;5503.290039;5503.290039;75164700
01/11/2017;5524.379883;5536.399902;5514.290039;5514.290039;5514.290039;75303700
02/11/2017;5510.959961;5520.810059;5486.240234;5510.500000;5510.500000;70253200
03/11/2017;5513.470215;5521.919922;5498.290039;5517.970215;5517.970215;75125000
06/11/2017;5507.069824;5513.310059;5492.899902;5507.250000;5507.250000;70213800
07/11/2017;5521.750000;5525.549805;5475.919922;5480.640137;5480.640137;78339100
08/11/2017;5487.529785;5496.080078;5452.200195;5471.430176;5471.430176;92596200
09/11/2017;5470.180176;5479.700195;5401.430176;5407.750000;5407.750000;98897900
10/11/2017;5405.549805;5415.879883;5375.120117;5380.720215;5380.720215;84901400
13/11/2017;5382.649902;5384.759766;5301.020020;5341.629883;5341.629883;84572600
14/11/2017;5345.299805;5365.640137;5301.569824;5315.580078;5315.580078;90263700
15/11/2017;5301.140137;5312.390137;5267.220215;5301.250000;5301.250000;94175400
16/11/2017;5325.410156;5345.229980;5312.870117;5336.390137;5336.390137;74296300
17/11/2017;5335.850098;5350.250000;5304.350098;5319.169922;5319.169922;88650100
20/11/2017;5311.279785;5348.149902;5302.850098;5340.450195;5340.450195;66757000
21/11/2017;5335.839844;5385.859863;5326.859863;5366.149902;5366.149902;74777300
22/11/2017;5364.609863;5391.009766;5352.759766;5352.759766;5352.759766;67526600
23/11/2017;5339.759766;5391.890137;5330.319824;5379.540039;5379.540039;55368500
24/11/2017;5374.399902;5419.879883;5374.399902;5390.459961;5390.459961;54357200
27/11/2017;5378.959961;5408.470215;5359.390137;5360.089844;5360.089844;62120700
28/11/2017;5366.379883;5398.189941;5357.279785;5390.479980;5390.479980;65960000
29/11/2017;5416.490234;5441.689941;5394.890137;5398.049805;5398.049805;92621500
30/11/2017;5402.660156;5429.649902;5372.589844;5372.790039;5372.790039;128032500
01/12/2017;5374.129883;5378.319824;5299.060059;5316.890137;5316.890137;99908800
04/12/2017;5363.290039;5400.100098;5350.589844;5389.290039;5389.290039;81907500
05/12/2017;5382.229980;5392.479980;5349.790039;5375.529785;5375.529785;77844600
06/12/2017;5333.319824;5385.529785;5316.549805;5374.350098;5374.350098;78019500
07/12/2017;5374.569824;5396.310059;5365.750000;5383.859863;5383.859863;81173900
08/12/2017;5411.910156;5425.750000;5393.560059;5399.089844;5399.089844;90629200
11/12/2017;5411.709961;5411.709961;5382.500000;5386.830078;5386.830078;68771400
12/12/2017;5394.930176;5427.189941;5359.759766;5427.189941;5427.189941;80840200
13/12/2017;5415.319824;5429.029785;5393.979980;5399.450195;5399.450195;87609600
14/12/2017;5392.000000;5400.279785;5357.140137;5357.140137;5357.140137;78206300
15/12/2017;5340.339844;5360.870117;5330.100098;5349.299805;5349.299805;157439000
18/12/2017;5386.399902;5427.870117;5386.399902;5420.580078;5420.580078;81891400
19/12/2017;5409.649902;5420.640137;5380.149902;5382.910156;5382.910156;63736200
20/12/2017;5377.919922;5382.370117;5338.029785;5352.770020;5352.770020;68688100
21/12/2017;5332.390137;5389.799805;5323.540039;5385.970215;5385.970215;70387200
22/12/2017;5371.000000;5385.959961;5355.439941;5364.720215;5364.720215;46753800
27/12/2017;5359.819824;5388.140137;5352.529785;5368.839844;5368.839844;41098800
28/12/2017;5367.700195;5370.430176;5331.160156;5339.419922;5339.419922;42420600
29/12/2017;5336.149902;5344.049805;5312.560059;5312.560059;5312.560059;46218500
02/01/2018;5318.740234;5318.740234;5258.660156;5288.600098;5288.600098;66802600
03/01/2018;5295.310059;5347.629883;5291.890137;5331.279785;5331.279785;75371700
