Date;Open;High;Low;Close;Adj Close;Volume
27/04/2018;80.339996;81.500000;80.139999;81.500000;81.500000;351069
30/04/2018;81.500000;82.480003;81.419998;82.099998;82.099998;382780
02/05/2018;82.540001;83.099998;81.699997;81.779999;81.779999;474711
03/05/2018;81.879997;82.739998;81.860001;82.360001;82.360001;297107
04/05/2018;82.400002;82.860001;82.220001;82.320000;82.320000;413323
07/05/2018;82.220001;82.500000;81.980003;82.500000;82.500000;234455
08/05/2018;82.019997;83.300003;82.019997;83.199997;83.199997;328757
09/05/2018;83.120003;83.559998;82.019997;83.500000;83.500000;347145
10/05/2018;83.220001;83.519997;82.480003;83.239998;83.239998;237245
11/05/2018;83.260002;83.839996;83.000000;83.720001;83.720001;227031
14/05/2018;83.680000;84.080002;83.239998;83.300003;83.300003;273251
15/05/2018;83.000000;83.580002;82.959999;83.500000;83.500000;295786
16/05/2018;82.400002;82.440002;81.379997;82.000000;82.000000;547819
17/05/2018;81.940002;83.040001;81.919998;82.900002;82.900002;356699
18/05/2018;82.900002;83.959999;82.699997;83.959999;83.959999;312936
21/05/2018;83.980003;85.220001;83.839996;85.000000;85.000000;301319
22/05/2018;84.919998;85.500000;84.779999;85.180000;85.180000;280174
23/05/2018;85.040001;85.980003;85.000000;85.419998;85.419998;549091
24/05/2018;85.580002;86.080002;84.980003;85.019997;85.019997;335168
25/05/2018;85.300003;86.419998;85.239998;86.120003;86.120003;347950
28/05/2018;86.080002;86.260002;85.139999;85.160004;85.160004;311741
29/05/2018;84.559998;85.000000;81.879997;82.699997;82.699997;614750
30/05/2018;82.940002;83.419998;82.440002;83.300003;83.300003;406482
31/05/2018;83.480003;83.599998;82.620003;83.019997;83.019997;550481
01/06/2018;83.260002;83.500000;82.580002;83.000000;83.000000;354366
04/06/2018;83.440002;83.699997;82.820000;83.099998;83.099998;256421
05/06/2018;83.279999;84.139999;83.040001;83.980003;83.980003;457192
06/06/2018;84.099998;84.279999;83.680000;84.019997;84.019997;483097
07/06/2018;84.400002;84.519997;82.099998;82.099998;82.099998;376478
08/06/2018;81.760002;81.879997;80.519997;81.320000;81.320000;411678
11/06/2018;81.519997;82.400002;81.360001;82.239998;82.239998;447967
12/06/2018;82.500000;83.480003;82.019997;83.379997;83.379997;339746
13/06/2018;83.220001;84.800003;83.199997;84.559998;84.559998;402528
14/06/2018;84.220001;86.099998;83.959999;85.720001;85.720001;430213
15/06/2018;85.699997;86.739998;85.480003;86.739998;86.739998;976889
18/06/2018;86.440002;86.540001;84.940002;85.099998;85.099998;423788
19/06/2018;84.400002;85.860001;84.400002;85.300003;85.300003;394245
20/06/2018;85.739998;86.279999;85.220001;85.400002;85.400002;364452
21/06/2018;85.400002;86.120003;85.099998;85.860001;85.860001;400999
22/06/2018;86.000000;87.699997;85.540001;87.220001;87.220001;388184
25/06/2018;87.000000;87.239998;85.059998;85.459999;85.459999;285455
26/06/2018;85.000000;85.000000;83.500000;84.400002;84.400002;386436
27/06/2018;84.500000;85.360001;83.959999;84.959999;84.959999;441432
28/06/2018;84.580002;85.760002;84.220001;84.900002;84.900002;394448
29/06/2018;85.599998;86.559998;85.500000;85.620003;85.620003;483832
02/07/2018;85.419998;85.820000;84.820000;85.680000;85.680000;455811
03/07/2018;86.040001;86.519997;85.559998;85.559998;85.559998;335812
04/07/2018;85.500000;85.500000;82.220001;82.879997;82.879997;520109
05/07/2018;86.940002;90.379997;86.360001;90.080002;90.080002;1158426
06/07/2018;90.540001;91.000000;89.000000;89.959999;89.959999;533898
09/07/2018;90.019997;90.900002;89.440002;89.940002;89.940002;446002
10/07/2018;90.000000;90.459999;89.400002;90.120003;90.120003;324477
11/07/2018;89.639999;90.540001;89.419998;90.180000;90.180000;313260
12/07/2018;90.139999;91.660004;90.139999;90.900002;90.900002;372436
13/07/2018;91.220001;92.000000;90.900002;90.919998;90.919998;202231
16/07/2018;90.940002;91.519997;90.680000;91.339996;91.339996;295240
17/07/2018;91.160004;91.580002;90.580002;91.379997;91.379997;259542
18/07/2018;91.419998;93.040001;91.419998;91.800003;91.800003;451727
19/07/2018;91.900002;92.519997;91.379997;91.559998;91.559998;397196
20/07/2018;91.160004;91.320000;88.879997;89.620003;89.620003;543064
23/07/2018;89.300003;90.699997;89.160004;90.459999;90.459999;291090
24/07/2018;90.739998;92.080002;90.400002;91.379997;91.379997;377325
25/07/2018;91.379997;91.919998;90.940002;91.260002;91.260002;310923
26/07/2018;91.459999;92.860001;91.419998;92.199997;92.199997;370422
27/07/2018;92.480003;94.480003;92.360001;94.419998;94.419998;503111
30/07/2018;94.040001;95.260002;93.559998;94.900002;94.900002;336931
31/07/2018;94.779999;95.320000;94.680000;94.680000;94.680000;381670
01/08/2018;94.540001;94.760002;93.919998;94.300003;94.300003;243179
02/08/2018;92.800003;93.160004;90.839996;91.680000;91.680000;580209
03/08/2018;91.519997;92.500000;91.360001;92.099998;92.099998;220098
